Quantity,Name,Finish,Condition,Language,Edition Name,Edition Code,Scryfall ID,Collector Number
1,Sage Owl,Normal,NM,EN,Weatherlight,wth,3ee2d6a1-8b1e-47e5-9720-5683ac458250,52
1,Sandstorm,Normal,NM,EN,Mirage,mir,cdce7d3c-cc17-4010-85ec-402a6f256360,239
1,Sawtooth Ogre,Normal,NM,EN,Weatherlight,wth,4a237580-f7f6-4d6b-a342-0d11fc0b5a59,114
1,Scorched Ruins,Normal,NM,EN,Weatherlight,wth,75a4e843-937c-47fb-8768-0f42c5cb4e4f,166
1,Searing Spear Askari,Normal,NM,EN,Mirage,mir,5cf66916-7f6b-412f-acd6-f96ad4539a46,191
1,Seedling Charm,Normal,NM,EN,Mirage,mir,e42746e1-f422-4453-a860-3993d5796479,240
1,Serene Heart,Normal,NM,EN,Mirage,mir,aff19d9d-8069-4f8d-a81b-e2fcd94c13b3,242
1,Serra's Blessing,Normal,NM,EN,Weatherlight,wth,2794cca9-3df0-4864-8a98-4de71a2bcf17,25
1,Serrated Biskelion,Normal,NM,EN,Weatherlight,wth,c449126c-ac01-4a90-b967-8c3ad112091b,156
1,Shadow Rider,Normal,NM,EN,Weatherlight,wth,5bfdec24-e689-4cca-a546-a8f5d0929f8d,79
1,Shrieking Drake,Normal,NM,EN,Visions,vis,63971a64-c5f3-4d1f-ae0d-489d7d5b18f0,43
1,Sisay's Ring,Normal,NM,EN,Visions,vis,a08becd3-ca5e-4150-8d28-52436a3eaffd,154
1,Skulking Ghost,Normal,NM,EN,Mirage,mir,f8ca7e96-0545-4f36-85c0-944d5c0b760a,143
1,Soar,Normal,NM,EN,Mirage,mir,bd3666dd-a90e-43c2-bd78-ea9c1af08a0e,93
1,Song of Blood,Normal,NM,EN,Visions,vis,4497a1d7-6604-4f2d-9484-1f1d77a6228f,94
1,Soul Shepherd,Normal,NM,EN,Weatherlight,wth,f45a39ba-5fbf-46c3-8dc7-3058ac6d24e8,26
1,Soulshriek,Normal,NM,EN,Mirage,mir,5c3bf717-2b88-4704-a7e9-f62dbb3d3d3d,145
1,Spider Climb,Normal,NM,EN,Visions,vis,a1818812-4cb8-4fe1-98c0-b40086b4991c,120
1,Squandered Resources,Normal,NM,EN,Visions,vis,fcddbea7-3025-47b1-a597-2d2b2711fb81,137
1,Steel Golem,Normal,NM,EN,Weatherlight,wth,9aa927e0-5a65-4ac1-8eca-c000bb8080e7,157
1,Swamp,Normal,NM,EN,Mirage,mir,f2d28477-8be1-4caf-8185-64f47905ccb1,339
1,Talruum Champion,Normal,NM,EN,Visions,vis,33730a07-754c-4606-bfac-d73454af9567,97
1,Talruum Minotaur,Normal,NM,EN,Mirage,mir,51657034-2c30-40a2-a215-a00277f01642,196
1,Teferi's Isle,Normal,NM,EN,Mirage,mir,b6ed7ca8-fd91-46e3-9149-a3de23c7078e,330
1,Tendrils of Despair,Normal,NM,EN,Weatherlight,wth,b5d73ddb-bd3c-4625-9f75-ba2079553915,83
1,Teremko Griffin,Normal,NM,EN,Mirage,mir,96267012-24da-43ae-97af-69ca3d7704f8,43
1,Thirst,Normal,NM,EN,Mirage,mir,12630ac5-a6c4-4852-abd9-5a0bc71bbf83,99
1,Uktabi Faerie,Normal,NM,EN,Mirage,mir,c3cdee9f-7ea9-4397-a230-ce610be5d3af,247
1,Uktabi Orangutan,Normal,NM,EN,Visions,vis,101c7d58-43cc-4ebd-87f1-2016fbff56dd,123
1,Undiscovered Paradise,Normal,NM,EN,Visions,vis,5f6e8830-5e62-4945-8b73-60f0628d38e7,167
1,Unseen Walker,Normal,NM,EN,Mirage,mir,0861a73d-8810-42f7-b20a-a6dd53586220,249
1,Unyaro Bee Sting,Normal,NM,EN,Mirage,mir,71bdd944-e86c-4e5e-b75c-9bbf4fb27ccd,250
1,Unyaro Griffin,Normal,NM,EN,Mirage,mir,d6db3573-2cc5-47ca-b65f-080aab7fdddc,44
1,Urborg Mindsucker,Normal,NM,EN,Visions,vis,78405864-fc83-47ab-9238-8e0464a700ec,71
1,Urborg Panther,Normal,NM,EN,Mirage,mir,edc9ff0f-adec-4d39-b281-98c5862f506b,150
1,Urborg Stalker,Normal,NM,EN,Weatherlight,wth,2d33e3d5-c608-4ba8-8614-0b9d0385af64,85
1,Vodalian Illusionist,Normal,NM,EN,Weatherlight,wth,9ce0e28b-9fd6-4763-8d6b-952b530358ab,58
1,Volcanic Geyser,Normal,NM,EN,Mirage,mir,911787db-9023-46f8-9501-3ad26b6ca51d,202
1,Wand of Denial,Normal,NM,EN,Visions,vis,0b1c856f-6d29-4bfc-976e-7875d60abd52,159
1,Wild Elephant,Normal,NM,EN,Mirage,mir,7809131c-747c-4c33-a3ca-13e573a92b66,254
1,Wildfire Emissary,Normal,NM,EN,Mirage,mir,6d99204c-b42d-48bc-9a93-fae5660665c7,203
1,Winding Canyons,Normal,NM,EN,Weatherlight,wth,f26672a8-f4ff-4c64-bb3e-f5072bbc9e3e,167
1,Zombie Mob,Normal,NM,EN,Mirage,mir,ab85551f-c9cc-409c-9fb5-a45de695e521,153
